Gene Name	Systematic Name	Motif ID	Sub Motif	Logo	Total Score	DBDs	Expert Confidence	Method Description	Reference	Dubious?	Ranksum GO P	Ranksum GO AUROC	Ranksum GO Term	Mean ChIP chip Score	Mean Expression Score	Concurrence	Add to Cart
STB2	YMR053C	710	0		7.03	Glucocorticoid receptor-like (DNA-binding domain)	Low	ChIP-chip	16522208	Dubious	3.63	0.565	GO:0005694	0.92	2.49	0.00	Add
SPT23	YKL020C	670	0		14.49	TIG	Low	ChIP-chip	16522208	Dubious	5.04	0.461	GO:0005737	6.20	3.25	0.00	Add
SPT2	YER161C	1114	0		5.60	Lambda repressor	Low	ChIP-chip	17500587	Dubious	2.29	0.475	GO:0005737	2.26	1.04	0.00	Add
SPT10	YJL127C	1880	0		16.74	C2H2 ZF	Low	ChIP-chip	17947326		10.02	0.628	GO:0005730	2.60	4.12	0.00	Add
SNT2	YGL131C	612	0		4.64	Myb/SANT	Low	ChIP-chip	16522208	Dubious	2.15	0.424	GO:0007126	2.13	0.35	0.00	Add
SMK1	YPR054W	1875	0		5.67		Low	ChIP-chip	17947326	Dubious	2.23	0.565	GO:0023046	3.33	0.11	0.00	Add
RTG3	YBL103C	1445	0		37.68	bHLH	Low	ChIP-chip, structural prior	17438293		21.73	0.699	GO:0006520	15.53	0.42	0.00	Add
RTG3	YBL103C	1446	0		13.07	bHLH	Low	ChIP-chip, structural prior	17438293		4.40	0.591	GO:0005624	6.01	2.66	0.00	Add
RTG3	YBL103C	870	0		11.94	bHLH	Low	PBM	19158363		5.52	0.595	GO:0006520	2.54	0.60	3.27	Add
RTG1	YOL067C	1493	0		33.62	bHLH	Low	ChIP-chip, structural prior	17438293		14.91	0.663	GO:0006520	15.39	3.33	0.00	Add
RTG1	YOL067C	1494	0		20.87	bHLH	Low	ChIP-chip, structural prior	17438293		2.68	0.527	GO:0005737	16.72	1.46	0.00	Add
RME1	YGR044C	273	0		10.37	C2H2 ZF	Low	multiple site examination, mutational analysis	14668363		1.41	0.442	GO:0007126	0.45	0.44	8.07	Add
RCO1	YMR075W	1066	0		14.86		Low	ChIP-chip	17500587	Dubious	4.94	0.389	GO:0006091	5.80	4.11	0.00	Add
PZF1	YPR186C	1321	0		5.02	C2H2 ZF	Low	Methylation protection, single site analysis	2684967		3.49	0.637	GO:0016853	0.00	1.53	0.00	Add
PPR1	YLR014C	2064	0		14.49	Zinc cluster	Low	ChIP-chip, structural prior	17438293		3.27	0.432	GO:0005730	2.34	3.19	5.68	Add
PDC2	YDR081C	1050	0		3.30	Homeodomain	Low	ChIP-chip	17500587		2.55	0.384	GO:0007031	0.75	0.00	0.00	Add
OTU1	YFL044C	1166	0		14.75	C2H2 ZF	Low	ChIP-chip	17500587		3.49	0.440	GO:0005198	10.26	1.00	0.00	Add
NHP10	YDL002C	502	0		4.25	Sox	Low	PBM	19111667	Dubious	4.25	0.580	GO:0016491	0.00	0.00	0.00	Add
MSS11	YMR164C	204	0		17.91		Low	analysis of two binding sites	15485921	Dubious	3.03	0.549	GO:0005933	14.69	0.18	0.00	Add
MATALPHA1	YCR040W	1418	0		2.34	MATalpha1	Low	DNase/methyl protection, mutational analysis	8413280		2.34	0.560	GO:0005773	0.00	0.00	0.00	Add
KAR4	YCL055W	127	0		3.37		Low	Microarray enrichment	17101777	Dubious	2.95	0.431	GO:0005773	0.00	0.43	0.00	Add
JHD1	YER051W	662	0		16.59		Low	ChIP-chip	16522208	Dubious	3.15	0.535	GO:0016070	12.55	0.89	0.00	Add
IME4	YGL192W	1000	0		7.28		Low	ChIP-chip	17500587	Dubious	2.32	0.586	GO:0000746	4.96	0.00	0.00	Add
HMS2	YJR147W	992	0		2.22	HSF	Low	ChIP-chip	17500587		1.78	0.545	GO:0016044	0.12	0.33	0.00	Add
HMO1	YDR174W	2249	0		2.40	Sox	Low	ChIP-chip	20231876		2.40	0.525	GO:0005737	0.00	0.00	0.00	Add
GTS1	YGL181W	694	0		10.66	AT hook	Low	ChIP-chip	16522208		3.73	0.642	GO:0007033	6.89	0.05	0.00	Add
FZF1	YGL254W	69	0		3.49	C2H2 ZF	Low	EMSA, site-turns-on-gene, DNase protection	10234785		2.63	0.561	GO:0030234	0.29	0.58	0.00	Add
FYV5	YCL058C	1417	0		2.34		Low	EMSA	20195295		2.34	0.449	GO:0007005	0.00	0.00	0.00	Add
FLO8	YER109C	67	0		3.10		Low	analysis of two binding sites	15485921	Dubious	3.03	0.549	GO:0005933	0.00	0.07	0.00	Add
DAL81	YIR023W	53	0		3.21	Zinc cluster	Low	single site mutagenesis and knockout	15126393		2.35	0.546	GO:0005783	0.28	0.57	0.00	Add
	YDR266C	1161	0		4.00	C2H2 ZF	Low	ChIP-chip	17500587		3.92	0.583	GO:0005856	0.03	0.05	0.00	Add
YAP5	YIR018W	896	0		39.35	bZIP	Incorrect	ChIP-chip	18325926		28.90	0.689	GO:0005840	8.90	1.55	0.00	Add
STB2	YMR053C	710	0		7.03	Glucocorticoid receptor-like (DNA-binding domain)	Incorrect	ChIP-chip	16522208	Dubious	3.63	0.565	GO:0005694	0.92	2.49	0.00	Add
SFP1	YLR403W	357	0		51.88	C2H2 ZF	Incorrect	ChIP-chip	15343339		26.25	0.680	GO:0005198	24.14	1.49	0.00	Add
SFP1	YLR403W	1710	0		48.54	C2H2 ZF	Incorrect	ChIP-chip	17947326		29.62	0.691	GO:0005840	16.87	2.04	0.00	Add
SFP1	YLR403W	621	0		48.19	C2H2 ZF	Incorrect	ChIP-chip	16522208		30.22	0.693	GO:0005840	14.34	3.63	0.00	Add
SFP1	YLR403W	1100	0		36.75	C2H2 ZF	Incorrect	ChIP-chip	17500587		29.51	0.691	GO:0005840	6.12	1.12	0.00	Add
RPN4	YDL020C	1090	0		4.15	C2H2 ZF	Incorrect	ChIP-chip	17500587		2.74	0.620	GO:0006997	0.68	0.73	0.00	Add
RLM1	YPL089C	1079	0		3.91	MADS box	Incorrect	ChIP-chip	17500587		2.55	0.540	GO:0006950	1.08	0.28	0.00	Add
PHO2	YDL106C	1680	0		9.64	Homeodomain	Incorrect	ChIP-chip	17947326		3.21	0.545	GO:0006350	5.44	0.98	0.00	Add
PDR1	YGL013C	899	0		36.70	Zinc cluster	Incorrect	ChIP-chip	18325926		30.64	0.695	GO:0005840	5.68	0.38	0.00	Add
NDD1	YOR372C	366	0		17.87		Incorrect	ChIP-chip	15343339	Dubious	4.97	0.654	GO:0005618	12.71	0.18	0.00	Add
FHL1	YPR104C	406	0		44.13	Forkhead	Incorrect	ChIP-chip	15343339		32.34	0.700	GO:0005840	9.71	2.08	0.00	Add
FHL1	YPR104C	1618	0		39.97	Forkhead	Incorrect	ChIP-chip	17947326		27.20	0.683	GO:0005840	10.68	2.10	0.00	Add
FHL1	YPR104C	1504	0		38.50	Forkhead	Incorrect	ChIP-chip, structural prior	17438293		31.67	0.698	GO:0005840	6.12	0.72	0.00	Add
FHL1	YPR104C	629	0		36.71	Forkhead	Incorrect	ChIP-chip	16522208		27.50	0.684	GO:0005840	8.27	0.94	0.00	Add
FHL1	YPR104C	893	0		34.36	Forkhead	Incorrect	ChIP-chip	18325926		29.04	0.689	GO:0005840	4.24	1.09	0.00	Add
FHL1	YPR104C	1196	0		3.49	Forkhead	Incorrect	ChIP-chip	12399584		2.38	0.541	GO:0005515	0.33	0.78	0.00	Add
CHA4	YLR098C	1607	0		35.92	Zinc cluster	Incorrect	ChIP-chip	17947326		18.79	0.651	GO:0005840	8.54	6.34	2.26	Add
ASH1	YKL185W	648	0		8.26	GATA	Incorrect	ChIP-chip	16522208		3.45	0.625	GO:0005618	4.45	0.35	0.00	Add
ASH1	YKL185W	932	0		6.71	GATA	Incorrect	ChIP-chip	17500587		4.25	0.641	GO:0005618	1.08	1.38	0.00	Add
ARG81	YML099C	1507	0		21.04	Zinc cluster	Incorrect	ChIP-chip, structural prior	17438293		2.69	0.608	GO:0005618	14.92	3.43	0.00	Add
ACE2	YLR131C	918	0		11.60	C2H2 ZF	Incorrect	ChIP-chip	17500587		6.95	0.589	GO:0005840	4.04	0.61	0.00	Add
ZAP1	YJL056C	2097	0		14.86	C2H2 ZF,C2H2 ZF,C2H2 ZF	High	PBM	22189060		3.03	0.373	GO:0006997	1.68	3.60	6.55	Add
YRR1	YOR162C	2245	0		16.26	Zinc cluster	High	PBM	19997485		4.83	0.609	GO:0006091	4.28	0.28	6.88	Add
YRM1	YOR172W	813	0		7.72	Zinc cluster	High	PBM	19158363		2.44	0.602	GO:0005618	0.00	0.00	5.28	Add
YOX1	YML027W	498	0		17.77	Homeodomain	High	PBM	19111667		3.65	0.467	GO:0005737	7.51	1.04	5.57	Add
YHP1	YDR451C	716	0		8.97	Homeodomain	High	Microarray enrichment	12464633		2.26	0.552	GO:0016044	2.57	1.73	2.42	Add
YAP7	YOL028C	1737	0		54.83	bZIP	High	ChIP-chip	17947326		10.28	0.634	GO:0006520	43.34	1.21	0.00	Add
YAP7	YOL028C	1414	0		29.03	bZIP	High	MITOMI	20802496		2.28	0.411	GO:0006457	22.06	1.32	3.36	Add
YAP6	YDR259C	599	0		119.29	bZIP	High	ChIP-chip	16522208		3.06	0.456	GO:0006350	108.83	0.29	7.12	Add
YAP5	YIR018W	777	0		92.68	bZIP	High	ChIP-chip	18287073		2.25	0.442	GO:0044255	88.89	1.55	0.00	Add
YAP3	YHL009C	672	0		16.31	bZIP	High	ChIP-chip	16522208		2.16	0.299	GO:0003774	7.78	2.26	4.12	Add
YAP3	YHL009C	1411	0		13.00	bZIP	High	MITOMI	20802496		2.03	0.444	GO:0030234	5.20	0.76	5.01	Add
YAP1	YML007W	2186	0		179.06	bZIP	High	PBM	19997485		3.30	0.444	GO:0005783	170.45	2.83	2.49	Add
XBP1	YIL101C	2039	0		23.83	APSES	High	in vitro selection	9343412		3.68	0.564	GO:0005215	6.02	9.11	5.02	Add
USV1	YPL230W	509	0		43.25	C2H2 ZF	High	PBM	19111667		8.10	0.404	GO:0042254	6.78	24.85	3.52	Add
URC2	YDR520C	553	0		17.22	Zinc cluster	High	PBM	19111667		3.29	0.585	GO:0051186	7.21	0.94	5.78	Add
UPC2	YDR213W	544	0		12.99	Zinc cluster	High	PBM	19111667		4.30	0.458	GO:0016070	3.02	1.81	3.86	Add
UME6	YDR207C	2239	0		195.19	Zinc cluster	High	PBM	19997485		4.56	0.576	GO:0003677	173.77	10.19	6.66	Add
UGA3	YDL170W	651	0		19.87	Zinc cluster	High	ChIP-chip	16522208		5.12	0.610	GO:0051186	11.63	0.12	3.00	Add
TYE7	YOR344C	397	0		36.77	bHLH	High	ChIP-chip	15343339		4.18	0.550	GO:0016740	13.75	3.61	15.23	Add
TOS8	YGL096W	494	0		3.58	Homeodomain	High	PBM	19111667		1.50	0.464	GO:0042254	0.23	1.84	0.00	Add
TOD6	YBL054W	852	0		66.78	Myb/SANT	High	PBM	19158363		54.53	0.809	GO:0005730	2.85	5.87	3.53	Add
THI2	YBR240C	1449	0		20.46	Zinc cluster	High	ChIP-chip, structural prior	17438293		6.09	0.403	GO:0005730	10.69	3.68	0.00	Add
TEC1	YBR083W	815	0		38.96	TEA	High	PBM	19158363		8.34	0.622	GO:0030427	15.03	2.26	13.32	Add
TBS1	YBR150C	2179	0		10.58	Zinc cluster	High	PBM	19997485		6.60	0.602	GO:0005886	0.74	1.40	1.84	Add
TBS1	YBR150C	552	0		10.01	Zinc cluster	High	PBM	19111667		3.49	0.571	GO:0005886	0.48	0.91	5.12	Add
TBF1	YPL128C	2178	0		15.41	Myb/SANT	High	PBM	19997485		3.71	0.428	GO:0003723	0.00	0.23	11.47	Add
SWI5	YDR146C	569	0		13.34	C2H2 ZF,C2H2 ZF,C2H2 ZF	High	PBM	19111667		2.16	0.563	GO:0046483	5.40	1.14	4.64	Add
SWI4	YER111C	584	0		27.24	APSES	High	PBM	19111667		6.51	0.584	GO:0006259	13.72	1.18	5.83	Add
SUT2	YPR009W	2236	0		42.11	Zinc cluster	High	PBM	19997485		3.03	0.598	GO:0016023	37.31	1.77	0.00	Add
SUM1	YDR310C	478	0		85.56	AT hook	High	PBM	19111667		43.45	0.733	GO:0042254	27.53	14.58	0.00	Add
SUM1	YDR310C	383	0		29.55	AT hook	High	ChIP-chip	15343339		4.03	0.667	GO:0006766	14.73	2.93	7.86	Add
STP2	YHR006W	2174	0		142.56	C2H2 ZF	High	PBM	19997485		9.07	0.621	GO:0005886	120.38	10.54	2.57	Add
STP1	YDR463W	660	0		19.95	C2H2 ZF	High	ChIP-chip	16522208		5.31	0.590	GO:0005886	7.91	2.03	4.70	Add
STE12	YHR084W	400	0		42.51	STE	High	ChIP-chip	15343339		5.95	0.649	GO:0000746	23.39	8.11	5.06	Add
STB5	YHR178W	1405	0		16.88	Zinc cluster	High	MITOMI	20802496		6.17	0.599	GO:0016491	1.28	2.52	6.91	Add
STB4	YMR019W	2107	0		24.46	Zinc cluster	High	PBM	22189060		3.89	0.576	GO:0016491	12.49	3.81	4.27	Add
STB3	YDR169C	2233	0		53.81		High	PBM	19997485		42.16	0.729	GO:0042254	0.00	6.19	5.46	Add
SPT15	YER148W	798	0		10.71	TBP	High	PBM	19158363		4.20	0.585	GO:0005773	1.03	1.75	3.73	Add
SOK2	YMR016C	404	0		27.00	APSES	High	ChIP-chip	15343339		3.29	0.569	GO:0005886	14.25	4.09	5.37	Add
SKO1	YNL167C	1401	0		35.91	bZIP	High	MITOMI	20802496		2.65	0.449	GO:0005840	21.45	5.03	6.78	Add
SKN7	YHR206W	380	0		44.08	HSF	High	ChIP-chip	15343339		4.60	0.594	GO:0005624	18.47	21.02	0.00	Add
SKN7	YHR206W	583	0		23.74	HSF	High	PBM	19111667		2.40	0.549	GO:0005215	10.51	6.07	4.76	Add
SFP1	YLR403W	797	0		71.44	C2H2 ZF	High	PBM	19158363		51.19	0.753	GO:0042254	8.53	6.74	4.98	Add
RSF2	YJR127C	575	0		7.38	C2H2 ZF	High	PBM	19111667		5.56	0.452	GO:0016070	1.48	0.34	0.00	Add
RSC3	YDR303C	580	0		11.29	Zinc cluster	High	PBM	19111667		4.54	0.583	GO:0005886	0.00	2.62	4.14	Add
RPN4	YDL020C	1700	0		29.95	C2H2 ZF	High	ChIP-chip	17947326		8.31	0.628	GO:0044257	15.48	1.26	4.90	Add
RPH1	YER169W	547	0		17.62	C2H2 ZF	High	PBM	19111667		4.88	0.455	GO:0016070	3.63	3.79	5.32	Add
ROX1	YPR065W	1396	0		23.00	Sox	High	MITOMI	20802496		2.69	0.451	GO:0006412	4.11	10.91	5.29	Add
RIM101	YHL027W	600	0		20.58	C2H2 ZF	High	ChIP-chip	16522208		2.33	0.546	GO:0005783	9.59	2.62	6.03	Add
RGT1	YKL038W	2227	0		29.58	Zinc cluster	High	PBM	19997485		2.49	0.603	GO:0005618	9.23	1.23	16.62	Add
RGM1	YMR182C	531	0		21.46	C2H2 ZF	High	PBM	19111667		7.80	0.442	GO:0016070	8.52	5.14	0.00	Add
REI1	YBR267W	489	0		18.65	C2H2 ZF	High	PBM	19111667		2.95	0.572	GO:0005624	15.71	0.00	0.00	Add
REB1	YBR049C	907	0		170.10	MADF	High	ChIP-chip	18325926		4.14	0.581	GO:0007010	150.91	6.81	8.25	Add
RDS1	YCR106W	506	0		62.32	Zinc cluster	High	PBM	19111667		4.38	0.582	GO:0016491	51.21	1.18	5.54	Add
RDR1	YOR380W	2158	0		45.25	Zinc cluster	High	PBM	19997485		5.96	0.623	GO:0006091	34.73	0.75	3.81	Add
RAP1	YNL216W	254	0		127.20	Myb/SANT	High	ChIP-chip	11455386		30.22	0.693	GO:0005840	70.72	7.69	18.57	Add
PHO4	YFR034C	2222	0		22.21	bHLH	High	PBM	19997485		3.80	0.425	GO:0005730	9.13	3.04	6.24	Add
PHO2	YDL106C	2154	0		17.50	Homeodomain	High	PBM	19997485		2.96	0.555	GO:0042254	11.50	0.14	2.89	Add
PHD1	YKL043W	2153	0		49.14	APSES	High	PBM	19997485		2.38	0.564	GO:0005624	38.35	0.52	7.88	Add
PHD1	YKL043W	393	0		36.47	APSES	High	ChIP-chip	15343339		3.49	0.537	GO:0016020	27.15	5.83	0.00	Add
PDR1	YGL013C	485	0		15.37	Zinc cluster	High	PBM	19111667		3.91	0.597	GO:0006091	5.89	1.28	4.28	Add
